Keyword,Intents,Volume,Keyword Difficulty,CPC,Competition Density,vapourism.co.uk,vapeuk.co.uk,vapeshop.co.uk,totallywicked-eliquid.co.uk,vapourism.co.uk (pages),vapeuk.co.uk (pages),vapeshop.co.uk (pages),totallywicked-eliquid.co.uk (pages),Results
elf bar juice,"Commercial, Informational",480,26,0.00,0.00,0,9,37,49,,https://vapeuk.co.uk/e-liquids/elf-bar-elfliq-nic-salt-e-liquids,https://www.vapeshop.co.uk/collections/elfliq-elfbar-eliquid,https://www.totallywicked-eliquid.co.uk/,14100000
elf bar vapes,"Commercial, Informational",480,14,0.00,0.00,0,8,14,1,,https://vapeuk.co.uk/vendors/elf-bar,https://www.vapeshop.co.uk/collections/elf-bar,https://www.totallywicked-eliquid.co.uk/brands/elf-bar,7030000
elf liq,"Commercial, Informational",480,28,0.00,0.49,0,6,41,9,,https://vapeuk.co.uk/e-liquids/elf-bar-elfliq-nic-salt-e-liquids,https://www.vapeshop.co.uk/collections/elfliq-elfbar-eliquid,https://www.totallywicked-eliquid.co.uk/,35600000
elf vape,"Commercial, Informational",480,17,0.00,0.00,0,19,1,3,,https://vapeuk.co.uk/e-liquids/elf-bar-elfliq-nic-salt-e-liquids,https://www.vapeshop.co.uk/collections/elf-bar,https://www.totallywicked-eliquid.co.uk/brands/elf-bar,9600000
elfbar flavours,Navigational,480,32,0.00,0.00,0,15,33,10,,https://vapeuk.co.uk/elf-bar-disposable-vape-kit,https://www.vapeshop.co.uk/collections/elf-bar,https://www.totallywicked-eliquid.co.uk/brands/elf-bar,2140000
elux bars,"Commercial, Informational",480,29,0.00,0.00,0,8,52,41,,https://vapeuk.co.uk/vendors/elux,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,1920000
elux liquid flavours list,Commercial,480,6,0.00,0.00,0,7,54,52,,https://vapeuk.co.uk/e-liquids/elux-nic-salts/elux-legend-nic-salt-e-liquids,https://www.vapeshop.co.uk/collections/disposable-vape-kits,https://www.totallywicked-eliquid.co.uk/e-liquids,61
geekvape pods,"Commercial, Informational",480,9,0.00,0.00,0,1,23,98,,https://vapeuk.co.uk/geekvape-q-replacement-pods,https://www.vapeshop.co.uk/collections/geekvape-pods,https://www.totallywicked-eliquid.co.uk/,4500000
gold bar reload pods,Informational,480,9,0.00,0.16,0,4,27,89,,https://vapeuk.co.uk/vape-gold-s-gold-bar-reload-prefilled-vape-pods,https://www.vapeshop.co.uk/collections/gold-bar-apollo,https://www.totallywicked-eliquid.co.uk/,717000
hayati nic salts,"Commercial, Informational",480,9,0.00,0.00,0,2,39,85,,https://vapeuk.co.uk/e-liquids/hayati-pro-max-nic-salt-e-liquid,https://www.vapeshop.co.uk/collections/hayati-pro-max-nic-salts,https://www.totallywicked-eliquid.co.uk/,969000
hayati pro max ultra,Commercial,480,22,0.00,0.06,0,2,17,82,,https://vapeuk.co.uk/hayati-pro-ultra-plus-25000-prefilled-pod-kit,https://www.vapeshop.co.uk/collections/hayati-pro-ultra-plus,https://www.totallywicked-eliquid.co.uk/,1420000
how many puffs in a lost mary,Informational,480,19,0.00,0.00,0,3,30,8,,https://vapeuk.co.uk/lost-mary-bm600-disposable-kit,https://www.vapeshop.co.uk/collections/lost-mary-bm6000,https://www.totallywicked-eliquid.co.uk/lost-mary-bm6000,4650000
ivg 2400 4 in 1 flavours,"Informational, Transactional",480,22,0.00,0.68,0,4,23,2,,https://vapeuk.co.uk/ivg-2400-reload-4-in-1-multi-flavour-edition-prefilled-pods,https://www.vapeshop.co.uk/products/ivg-air-4-in-1-vape-kit,https://www.totallywicked-eliquid.co.uk/ivg-2400-4-in-1-disposable-vape,688000
ivg 2400 prefilled pod kit,"Commercial, Informational",480,8,0.00,0.00,0,1,12,3,,https://vapeuk.co.uk/ivg-2400-prefilled-pod-vape-kit,https://www.vapeshop.co.uk/products/ivg-2400-rechargeable-vape-kit,https://www.totallywicked-eliquid.co.uk/ivg-2400-4-in-1-disposable-vape,741000
ivg air 2 in 1,Informational,480,17,0.00,0.11,0,2,19,77,,https://vapeuk.co.uk/ivg-air-2-in-1-prefilled-pod-kit,https://www.vapeshop.co.uk/products/ivg-air-2-in-1-vape-kit,https://www.totallywicked-eliquid.co.uk/,3500000
ivg air vape,Informational,480,16,0.00,0.00,0,3,2,77,,https://vapeuk.co.uk/ivg-air-4-in-1-prefilled-pod-kit,https://www.vapeshop.co.uk/collections/ivg-air,https://www.totallywicked-eliquid.co.uk/,9
ivg pro 12,Informational,480,14,0.00,0.26,0,3,22,8,,https://vapeuk.co.uk/ivg-pro-12-prefilled-pod-kit,https://www.vapeshop.co.uk/collections/ivg-pro-12,https://www.totallywicked-eliquid.co.uk/ivg-pro-12-blue-sour-raspberry,4520000
ivg vape flavours,"Commercial, Navigational",480,34,0.00,0.00,0,2,21,3,,https://vapeuk.co.uk/vendors/i-vg,https://www.vapeshop.co.uk/collections/disposable-vape-kits,https://www.totallywicked-eliquid.co.uk/ivg-2400-4-in-1-disposable-vape,1390000
ivg vape juice,Informational,480,30,0.00,0.00,0,11,28,14,,https://vapeuk.co.uk/e-liquids/i-vg-e-liquids,https://www.vapeshop.co.uk/collections/ivg-pro-12,https://www.totallywicked-eliquid.co.uk/ivg-2400-4-in-1-multi-flavour-juicy-edition,1970000
ivg vape pods,Informational,480,20,0.00,0.00,0,2,14,6,,https://vapeuk.co.uk/ivg-air-4-in-1-prefilled-vape-pods,https://www.vapeshop.co.uk/collections/ivg-pro-12,https://www.totallywicked-eliquid.co.uk/ivg-2400-reload-pod-x-4,1940000
juice store near me,Transactional,480,69,0.80,0.06,0,57,55,63,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,806000000
liquid cigarette electronic,"Commercial, Informational",480,64,0.00,0.00,0,7,59,6,,https://vapeuk.co.uk/e-liquids,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,24200000
liquid elf,Informational,480,25,0.00,0.21,0,8,25,32,,https://vapeuk.co.uk/e-liquids/elf-bar-elfliq-nic-salt-e-liquids,https://www.vapeshop.co.uk/collections/elfliq-elfbar-eliquid,https://www.totallywicked-eliquid.co.uk/,39100000
lost mary 4in1 pods,"Commercial, Informational",480,9,0.00,0.01,0,5,7,27,,https://vapeuk.co.uk/lost-mary-4-in-1-prefilled-vape-pods,https://www.vapeshop.co.uk/products/triple-mango-lost-mary-4in1-pods,https://www.totallywicked-eliquid.co.uk/vape-pods/lost-mary-pods,1180000
lost mary 6000 puffs,"Commercial, Informational",480,10,0.00,0.00,0,1,17,4,,https://vapeuk.co.uk/lost-mary-bm6000-prefilled-pod-vape-kit,https://www.vapeshop.co.uk/products/pineapple-ice-lost-mary-bm6000-refill-pack,https://www.totallywicked-eliquid.co.uk/lost-mary-bm6000,10
lost mary 6000 refill,"Commercial, Informational",480,9,0.00,0.00,0,4,17,2,,https://vapeuk.co.uk/lost-mary-bm6000-prefilled-pods-refill-container,https://www.vapeshop.co.uk/products/pineapple-ice-lost-mary-bm6000-refill-pack,https://www.totallywicked-eliquid.co.uk/lost-mary-bm6000-refill,1150000
lost mary bm600 refill pods,"Commercial, Informational",480,13,0.00,0.00,0,1,20,3,,https://vapeuk.co.uk/lost-mary-bm600-prefilled-pods,https://www.vapeshop.co.uk/products/lost-mary-bm600-prefilled-pod-kit,https://www.totallywicked-eliquid.co.uk/vape-pods/lost-mary-pods,90
lost mary prefilled pods,"Informational, Transactional",480,14,0.00,0.00,0,2,17,4,,https://vapeuk.co.uk/lost-mary-bm600-prefilled-pods,https://www.vapeshop.co.uk/products/lost-mary-bm600-prefilled-pod-kit,https://www.totallywicked-eliquid.co.uk/vape-pods/lost-mary-pods,1650000
lost mary qm600,"Commercial, Informational",480,8,0.00,0.00,0,5,76,24,,https://vapeuk.co.uk/lost-mary-qm600-disposable-kit-10-x-multipack,https://www.vapeshop.co.uk/collections/lost-mary-bm600,https://www.totallywicked-eliquid.co.uk/lost-mary-bm600-prefilled-pod-kit,126000
lost mary vape 6000 puffs,Informational,480,24,0.00,0.00,0,2,20,3,,https://vapeuk.co.uk/lost-mary-bm6000-prefilled-pod-vape-kit,https://www.vapeshop.co.uk/products/pineapple-ice-lost-mary-bm6000-refill-pack,https://www.totallywicked-eliquid.co.uk/lost-mary-bm6000,1400000
nera vape,"Commercial, Informational",480,-1,0.00,0.00,0,1,53,51,,https://vapeuk.co.uk/lost-mary-nera-30k-fullview-prefilled-pod-kit,https://www.vapeshop.co.uk/collections/lost-mary-nera,https://www.totallywicked-eliquid.co.uk/,937000
new vapes,Informational,480,21,0.00,0.00,0,1,2,11,,https://vapeuk.co.uk/new-products/new-vape-kits,https://www.vapeshop.co.uk/collections/new-vape-kits,https://www.totallywicked-eliquid.co.uk/,18400000
nic free vape,Informational,480,16,0.00,0.00,0,11,63,34,,https://vapeuk.co.uk/disposable-vapes/nicotine-free-disposable-vape-kits,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,10
nicotine vapes,Informational,480,91,0.00,0.00,0,1,2,6,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,63700000
no nicotine vape juice,"Commercial, Informational",480,16,0.00,0.00,0,40,10,8,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/collections/0mg,https://www.totallywicked-eliquid.co.uk/e-liquids/e-liquid-types/zero-nicotine,8770000
online vapes,Commercial,480,88,0.00,0.00,0,1,14,6,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,140000000
order vape,Navigational,480,93,0.00,0.00,0,2,26,5,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,106000000
pineapple ice lost mary,"Commercial, Informational",480,9,0.00,0.00,0,5,17,7,,https://vapeuk.co.uk/lost-mary-maryliq-pineapple-ice-nic-salt,https://www.vapeshop.co.uk/products/pineapple-ice-lost-mary-bm6000-refill-pack,https://www.totallywicked-eliquid.co.uk/pineapple-ice-lost-mary-bm6000-kit,4210000
pink lemonade vape,Informational,480,8,0.00,0.00,0,10,28,2,,https://vapeuk.co.uk/lost-mary-maryliq-pink-lemonade-nic-salt,https://www.vapeshop.co.uk/products/pink-lemonade-nic-salt-by-ske-crystal-10ml,https://www.totallywicked-eliquid.co.uk/pink-lemonade-lost-mary-bm6000-kit,5080000
pixl 6000 refills,Commercial,480,8,0.00,0.00,0,8,10,3,,https://vapeuk.co.uk/pixl-6000-disposable-kit,https://www.vapeshop.co.uk/collections/pixl-duo-12,https://www.totallywicked-eliquid.co.uk/pixl-duo-12-refill,10
pixl 6000 vape how to refill,Informational,480,9,0.00,0.00,0,8,37,20,,https://vapeuk.co.uk/pixl-6000-disposable-kit,https://www.vapeshop.co.uk/collections/pixl-duo-12,https://www.totallywicked-eliquid.co.uk/pixl-duo-12-kit,269000
pods and pouches,Navigational,480,34,0.98,1.00,0,93,52,53,,https://vapeuk.co.uk/lost-mary-bm6000-prefilled-pods-refill-container,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,13100000
rechargable vapes,Commercial,480,21,0.00,0.00,0,8,9,11,,https://vapeuk.co.uk/pod-vape-kits/refillable-pod-vape-kits,https://www.vapeshop.co.uk/blogs/news/disposable-vapes-verses-rechargeable-vapes,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits/kit-types/vape-pod-kits/refillable-pod-vape-kits,6640000
rechargeable elf bar,Informational,480,9,0.00,0.00,0,14,12,2,,https://vapeuk.co.uk/elf-bar-mate-500-device,https://www.vapeshop.co.uk/products/elfbar-dual-10k-vape-kit,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits/vape-pod-kits/elf-bar-pod-kits,10
refillable vape pen,Commercial,480,26,0.00,0.00,0,3,64,2,,https://vapeuk.co.uk/pod-vape-kits/refillable-pod-vape-kits,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits/kit-types/pen-style-vape-kits,8670000
single use vape,Informational,480,49,0.00,0.00,0,2,12,1,,https://vapeuk.co.uk/disposable-vapes,https://www.vapeshop.co.uk/collections/disposable-vape-kits,https://www.totallywicked-eliquid.co.uk/disposable-vape,75900000
ske pods,Informational,480,22,0.81,0.89,0,4,8,12,,https://vapeuk.co.uk/ske-crystal-plus-prefilled-vape-pods,https://www.vapeshop.co.uk/collections/ske-crystal-plus,https://www.totallywicked-eliquid.co.uk/,1790000
ske vape pods,Informational,480,16,0.00,0.00,0,22,25,14,,https://vapeuk.co.uk/ske-crystal-plus-prefilled-vape-pods,https://www.vapeshop.co.uk/collections/ske-crystal-plus,https://www.totallywicked-eliquid.co.uk/,1810000
small vapes,"Commercial, Informational",480,26,0.00,0.00,0,13,19,11,,https://vapeuk.co.uk/pod-vape-kits/refillable-pod-vape-kits,https://www.vapeshop.co.uk/collections/pod-and-compact-vape-kits,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits,19100000
smok ipx 80,"Commercial, Informational",480,13,0.00,0.00,0,50,18,98,,https://vapeuk.co.uk/smok-ipx-80-pod-mod-kit,https://www.vapeshop.co.uk/products/smok-ipx-80-pod-mod-80w-vape-kit,https://www.totallywicked-eliquid.co.uk/,329000
tappo,Informational,480,22,0.00,0.00,0,8,7,1,,https://vapeuk.co.uk/lost-mary-tappo-prefilled-pod-vape-kit,https://www.vapeshop.co.uk/collections/lost-mary-tappo,https://www.totallywicked-eliquid.co.uk/lost-mary-tappo,20600000
tecc vape,"Informational, Transactional",480,25,0.00,0.00,0,17,35,75,,https://vapeuk.co.uk/vendors/tecc-kits,https://www.vapeshop.co.uk/collections/tecc-vape,https://www.totallywicked-eliquid.co.uk/,86
titan 10k pods only,"Commercial, Informational",480,9,0.00,0.00,0,7,82,49,,https://vapeuk.co.uk/titan-x-prefilled-pods,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,602000
titan 10k vape pods refill,"Commercial, Informational",480,9,0.00,0.00,0,3,50,32,,https://vapeuk.co.uk/titan-x-prefilled-pods,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,243000
tobacco flavour vape,Informational,480,16,0.00,0.00,0,8,14,4,,https://vapeuk.co.uk/flavours/cigarette-tobacco,https://www.vapeshop.co.uk/collections/tobacco-pods,https://www.totallywicked-eliquid.co.uk/e-liquids/flavour-types/tobacco,6470000
vampire vape uk,Navigational,480,30,0.00,0.00,0,3,8,74,,https://vapeuk.co.uk/e-liquids/vampire-vape-e-liquids,https://www.vapeshop.co.uk/collections/vampire-vape,https://www.totallywicked-eliquid.co.uk/,1440000
vaoe uk,"Commercial, Navigational",480,98,0.00,0.00,0,1,13,8,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,101000000
vaoes,Informational,480,94,0.00,0.00,0,1,27,7,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,157000000
vape bars,Commercial,480,22,0.00,0.00,0,2,5,6,,https://vapeuk.co.uk/pod-vape-kits/disposable-vape-alternatives,https://www.vapeshop.co.uk/collections/disposable-vape-kits,https://www.totallywicked-eliquid.co.uk/disposable-vape,19700000
vape clearance,Commercial,480,16,0.00,0.00,0,10,3,14,,https://vapeuk.co.uk/clearance?p=2,https://www.vapeshop.co.uk/collections/all-clearance,https://www.totallywicked-eliquid.co.uk/vape-sale,9300000
vape kit uk,Commercial,480,58,0.00,0.00,0,2,3,6,,https://vapeuk.co.uk/vape-kits,https://www.vapeshop.co.uk/collections/vape-kits,https://www.totallywicked-eliquid.co.uk/,17900000
vape online uk,"Commercial, Informational",480,87,0.00,0.00,0,1,28,5,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,46100000
vape shop london,Commercial,480,75,0.00,0.00,0,15,32,5,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,20500000
vape shop.near me,Transactional,480,78,0.00,0.00,0,12,3,2,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/pages/store-locator,https://www.totallywicked-eliquid.co.uk/,32500000
vape smok,"Commercial, Informational",480,9,0.00,0.00,0,12,19,57,,https://vapeuk.co.uk/vendors/smok,https://www.vapeshop.co.uk/collections/smok-vape-kits?page=2,https://www.totallywicked-eliquid.co.uk/,97700000
vape stores,Commercial,480,94,0.00,0.00,0,3,12,5,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,49400000
vape to go,"Commercial, Navigational",480,60,0.00,0.00,0,5,16,7,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,10
vape without nicotine,Informational,480,12,0.00,0.00,0,8,82,57,,https://vapeuk.co.uk/disposable-vapes/nicotine-free-disposable-vape-kits,https://www.vapeshop.co.uk/collections/0mg,https://www.totallywicked-eliquid.co.uk/e-liquids/e-liquid-types/zero-nicotine,104000000
vape.,Commercial,480,92,0.00,0.00,0,1,39,5,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,143000000
vape.co.uk,Navigational,480,92,0.00,0.00,0,2,30,9,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,13300000
vape.shop near me,Transactional,480,66,0.00,0.00,0,11,2,3,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/pages/store-locator,https://www.totallywicked-eliquid.co.uk/,125000000
vapes disposable,Commercial,480,44,0.00,0.00,0,47,1,3,,https://vapeuk.co.uk/pod-vape-kits/disposable-vape-alternatives,https://www.vapeshop.co.uk/collections/disposable-vape-kits,https://www.totallywicked-eliquid.co.uk/disposable-vape,72500000
vapes.,Informational,480,92,0.00,0.00,0,1,15,3,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/collections/disposable-vape-kits,https://www.totallywicked-eliquid.co.uk/,145000000
vapespresso,Navigational,480,41,0.00,0.00,0,2,5,13,,https://vapeuk.co.uk/vendors/vaporesso,https://www.vapeshop.co.uk/collections/vaporesso,https://www.totallywicked-eliquid.co.uk/,7060000
vaping alternative,Informational,480,12,0.00,0.00,0,10,45,53,,https://vapeuk.co.uk/alternatives,https://www.vapeshop.co.uk/collections/vape-alternatives,https://www.totallywicked-eliquid.co.uk/,29300000
vaporesso dojo blast 6000,Commercial,480,7,0.00,0.00,0,1,83,90,,https://vapeuk.co.uk/vaporesso-dojo-blast-6000-prefilled-pod-vape-kit,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,93
vaporesso price,Transactional,480,28,0.00,0.00,0,20,2,88,,https://vapeuk.co.uk/vendors/vaporesso,https://www.vapeshop.co.uk/collections/vaporesso,https://www.totallywicked-eliquid.co.uk/,3710000
vaporizing tobacco,Informational,480,16,0.00,0.00,0,20,63,72,,https://vapeuk.co.uk/flavours/cigarette-tobacco,https://www.vapeshop.co.uk/collections/tobacco-pods,https://www.totallywicked-eliquid.co.uk/,767000
vapouresso,Navigational,480,59,0.37,0.00,0,2,13,67,,https://vapeuk.co.uk/vendors/vaporesso,https://www.vapeshop.co.uk/collections/vaporesso,https://www.totallywicked-eliquid.co.uk/,6450000
voopoo argus pod,"Commercial, Informational",480,14,0.00,0.00,0,1,49,98,,https://vapeuk.co.uk/voopoo-argus-p1-replacement-pod-cartridges,https://www.vapeshop.co.uk/collections/voopoo,https://www.totallywicked-eliquid.co.uk/,2720000
vuse pods uk,Navigational,480,28,1.61,0.09,0,58,6,41,,https://vapeuk.co.uk/vape-kits,https://www.vapeshop.co.uk/collections/vuse-eliquid-caps-cartridges,https://www.totallywicked-eliquid.co.uk/,850000
2400 puff vape,"Commercial, Informational",390,9,0.00,0.00,0,8,34,1,,https://vapeuk.co.uk/ivg-2400-disposable-vape-kit,https://www.vapeshop.co.uk/collections/disposable-vape-kits,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits/kit-types/big-puff-vapes/2400-puff-vapes,1110000
2400 vape,"Commercial, Informational",390,15,0.00,0.00,0,2,3,1,,https://vapeuk.co.uk/ivg-2400-disposable-vape-kit,https://www.vapeshop.co.uk/products/ivg-2400-rechargeable-vape-kit,https://www.totallywicked-eliquid.co.uk/ivg-2400-4-in-1-disposable-vape,3090000
bar salts,Informational,390,12,0.00,0.12,0,4,46,22,,https://vapeuk.co.uk/e-liquids/bar-salt-e-liquids,https://www.vapeshop.co.uk/collections/bar-salts-by-vampire-vape,https://www.totallywicked-eliquid.co.uk/,60100000
best vape 2025,Commercial,390,20,0.00,0.00,0,28,23,20,,https://vapeuk.co.uk/blog/the-best-vapes-blog,https://www.vapeshop.co.uk/blogs/news/the-best-uk-vape-kits-of-2025,https://www.totallywicked-eliquid.co.uk/vaped/best-vapes-for-this-year/,125000000
best vape liquid for flavour,Commercial,390,13,0.00,0.00,0,4,22,8,,https://vapeuk.co.uk/e-liquids,https://www.vapeshop.co.uk/blogs/news/top-ten-best-flavour-vape-juices-in-the-uk,https://www.totallywicked-eliquid.co.uk/e-liquids/flavour-types,10200000
best vape mod,Commercial,390,9,0.00,0.00,0,77,84,91,,https://vapeuk.co.uk/pod-vape-kits/refillable-pod-vape-kits,https://www.vapeshop.co.uk/blogs/news/best-vape-mods-box-mods-2021,https://www.totallywicked-eliquid.co.uk/,10500000
best vape mods 2025,Commercial,390,10,0.00,0.00,0,51,19,49,,https://vapeuk.co.uk/blog/the-best-vapes-blog,https://www.vapeshop.co.uk/blogs/news/the-best-uk-vape-kits-of-2025,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits,4490000
best vape uk,Commercial,390,31,0.00,0.00,0,1,50,7,,https://vapeuk.co.uk/vape-kits,https://www.vapeshop.co.uk/collections/vape-kits,https://www.totallywicked-eliquid.co.uk/vaped/5-best-vape-starter-kits-for-beginners/,80800000
big lost mary,Informational,390,11,0.00,0.16,0,7,1,4,,https://vapeuk.co.uk/lost-mary-bm6000-disposable-vape-kit,https://www.vapeshop.co.uk/collections/lost-mary-bm6000,https://www.totallywicked-eliquid.co.uk/brands/lost-mary,1030000000
